Date,ADR,Occupancy
2020-02-19,127.0446545,54.7643308
2020-02-20,126.778038,53.2269474
2020-02-21,130.1232515,52.1380453
2020-02-22,130.091541,52.6903769
2020-02-23,128.9433038,51.0718775
2020-02-24,128.715641,51.0734317
2020-02-25,128.1053433,51.7713784
2020-02-26,127.8223653,50.6667787
2020-02-27,128.1424599,45.397808
2020-02-28,131.6625504,46.6267019
2020-02-29,132.4560419,54.4564273
2020-03-01,128.5292446,49.2829741
2020-03-02,126.9404675,42.0115041
2020-03-03,125.7780455,24.0084224
2020-03-04,126.7032202,25.0671649
2020-03-05,127.3937226,38.5786887
2020-03-06,128.2472946,34.7855826
2020-03-07,130.8704622,42.8688939
2020-03-08,125.9323573,33.4376906
2020-03-09,127.9850612,40.3507422
2020-03-10,127.1028667,47.7381695
2020-03-11,129.7962002,37.9063514
2020-03-12,129.6016825,39.4538372
2020-03-13,130.7953589,39.7985211
2020-03-14,129.4324841,44.2216952
2020-03-15,125.4555412,35.0787813
2020-03-16,124.5599319,35.8299586
2020-03-17,124.091425,35.9043313
2020-03-18,123.5571167,34.6005722
2020-03-19,123.7073829,39.4473982
2020-03-20,124.6489402,40.7314722
2020-03-21,128.6752031,32.8121856
2020-03-22,125.8892503,28.1148912
2020-03-23,121.4853668,26.694732
2020-03-24,121.1260741,20.9450878
2020-03-25,123.3241818,24.3826281
2020-03-26,123.5829966,29.1234305
2020-03-27,124.7803386,27.3011789
2020-03-28,127.253764,26.6259644
2020-03-29,123.6139453,19.9334326
2020-03-30,127.4356037,20.787044
2020-03-31,125.585507,18.7761258
2020-04-01,132.2826986,9.4516273
2020-04-02,127.5803167,13.528341
2020-04-03,135.1254413,13.8692891
2020-04-04,136.3929342,17.6272148
2020-04-05,135.132218,13.2147649
2020-04-06,135.4377385,10.0911629
2020-04-07,133.6240845,13.1101614
2020-04-08,135.5563751,23.0876221
2020-04-09,139.6001789,21.0235346
2020-04-10,142.0735583,22.6878118
2020-04-11,141.8874571,24.2424813
2020-04-12,140.442886,18.8104087
2020-04-13,140.1447206,21.885005
2020-04-14,140.2597241,21.8197612
2020-04-15,140.2121012,21.1957646
2020-04-16,139.3449005,27.1803734
2020-04-17,138.8917953,21.6778559
2020-04-18,143.1946595,19.58567
2020-04-19,141.7235239,24.3816466
2020-04-20,139.2653611,24.1451296
2020-04-21,140.4158877,20.4752192
2020-04-22,138.8802522,27.3005044
2020-04-23,140.5291444,13.4709802
2020-04-24,140.363749,32.8630985
2020-04-25,142.0685027,14.6313264
2020-04-26,140.2294767,29.640748
2020-04-27,139.8573743,11.6780156
2020-04-28,142.4068876,20.6886798
2020-04-29,147.072292,12.9340818
2020-04-30,145.1953187,15.3117323
2020-05-01,145.6265447,10.3916414
2020-05-02,146.1070827,27.0855528
2020-05-03,143.9253486,9.8029401
2020-05-04,144.609228,25.2443518
2020-05-05,141.7846599,10.8455402
2020-05-06,142.3815159,26.1899264
2020-05-07,141.5040187,13.9998162
2020-05-08,143.4939776,33.4318883
2020-05-09,143.6207086,18.8707411
2020-05-10,143.4974584,31.6407188
2020-05-11,142.992778,15.3385063
2020-05-12,144.5474772,31.6082747
2020-05-13,142.0447084,11.5715366
2020-05-14,143.2509786,26.9937571
2020-05-15,140.2001418,13.8013321
2020-05-16,143.7879903,34.4058606
2020-05-17,139.2433461,16.4886428
2020-05-18,142.346674,27.3899597
2020-05-19,141.7081355,11.2729326
2020-05-20,147.550138,21.8991603
2020-05-21,145.9469843,13.3847249
2020-05-22,145.1134583,35.4135105
2020-05-23,145.362117,15.4995364
2020-05-24,147.6279255,24.2467589
2020-05-25,143.0078003,13.9143926
2020-05-26,148.6498835,12.4306283
2020-05-27,143.5398919,12.2098286
2020-05-28,143.064045,21.7383427
2020-05-29,149.0235203,14.7388874
2020-05-30,142.0113386,22.3425171
2020-05-31,143.8399757,26.8252305
2020-06-01,143.3574658,15.4830463
2020-06-02,144.4979863,29.6718724
2020-06-03,142.459765,21.2417487
2020-06-04,146.7826153,30.5318388
2020-06-05,132.079696,26.8071891
2020-06-06,131.4232873,36.8223423
2020-06-07,146.9968828,26.8851326
2020-06-08,130.9189933,13.7790862
2020-06-09,130.7544071,30.7684994
2020-06-10,129.9871355,22.9087918
2020-06-11,127.4229604,29.2194955
2020-06-12,147.7162893,33.7325204
2020-06-13,126.9414177,36.4498566
2020-06-14,128.1200066,41.6381543
2020-06-15,128.4592601,26.5800053
2020-06-16,129.4288386,37.7784042
2020-06-17,127.5553308,26.0001102
2020-06-18,128.4027209,43.3900498
2020-06-19,132.3789383,32.4304461
2020-06-20,132.0015976,47.1280179
2020-06-21,127.9422636,35.280873
2020-06-22,132.7944254,33.2395778
2020-06-23,127.0481748,18.4884964
2020-06-24,142.7630283,32.2499846
2020-06-25,132.632433,24.2712617
2020-06-26,138.3883663,40.7320195
2020-06-27,139.9292131,30.0131012
2020-06-28,137.5731894,43.3758336
2020-06-29,133.9215109,28.7412323
2020-06-30,133.4416691,45.2865131
2020-07-01,132.4288535,43.5117081
2020-07-02,132.0210249,40.2119093
2020-07-03,133.9609993,54.0876518
2020-07-04,135.0689287,57.9873482
2020-07-05,130.4078318,42.1422221
2020-07-06,132.3244172,52.6505019
2020-07-07,132.2125444,38.4624962
2020-07-08,151.0983159,56.1643861
2020-07-09,130.4185362,43.7297991
2020-07-10,130.8583086,54.7126373
2020-07-11,130.0952207,39.4112566
2020-07-12,149.8483983,38.2238401
2020-07-13,143.8688282,46.0664716
2020-07-14,148.8314038,34.257593
2020-07-15,149.5496151,34.6518708
2020-07-16,144.890437,38.9611378
2020-07-17,150.221524,43.5668197
2020-07-18,151.6058075,53.2417156
2020-07-19,146.7609892,42.2711697
2020-07-20,145.6929246,37.9599452
2020-07-21,145.508285,36.8061741
2020-07-22,152.046097,36.3926639
2020-07-23,146.2582472,39.9924895
2020-07-24,149.2892336,45.3519558
2020-07-25,147.9281847,48.5797013
2020-07-26,140.0513617,41.8660832
2020-07-27,148.0047897,38.1811757
2020-07-28,145.9073355,38.8141806
2020-07-29,145.7070055,35.2477745
2020-07-30,145.7770019,45.9354603
2020-07-31,151.6177497,42.3592497
2020-08-01,149.5617783,47.5148924
2020-08-02,150.2108898,50.7279631
2020-08-03,146.9094588,49.9693993
2020-08-04,145.4965637,38.6412732
2020-08-05,146.6648833,40.725044
2020-08-06,147.0843724,39.9059449
2020-08-07,148.4437838,49.273235
2020-08-08,148.1588525,54.5129943
2020-08-09,142.92154,48.5079775
2020-08-10,142.892602,51.3354311
2020-08-11,139.2175091,53.2886076
2020-08-12,138.2105102,51.4246726
2020-08-13,138.9344648,53.631811
2020-08-14,140.2968313,67.857977
2020-08-15,140.1254986,66.7317219
2020-08-16,136.4277547,57.6037509
2020-08-17,139.1393697,49.7264846
2020-08-18,137.305924,44.2573615
2020-08-19,139.2309727,45.8611889
2020-08-20,139.022585,50.9830994
2020-08-21,143.9272144,46.4762917
2020-08-22,141.8944894,60.2870208
2020-08-23,141.1494724,59.3041868
2020-08-24,139.0313901,49.7265513
2020-08-25,137.3443408,43.674149
2020-08-26,138.3970393,52.1355285
2020-08-27,139.2357136,54.9043844
2020-08-28,142.2386999,58.361878
2020-08-29,141.3802849,52.8683181
2020-08-30,139.1372119,48.8757228
2020-08-31,138.4896311,49.4717908
2020-09-01,141.7356168,51.8111878
2020-09-02,142.832802,47.2859393
2020-09-03,143.2597462,50.2940871
2020-09-04,144.6108309,58.9177298
2020-09-05,146.7142912,54.6766803
2020-09-06,147.0788492,49.0442963
2020-09-07,143.3401692,44.7089412
2020-09-08,141.0789336,46.5947212
2020-09-09,142.4516582,44.0540095
2020-09-10,142.2796616,47.6735405
2020-09-11,144.0555314,51.5736869
2020-09-12,128.9180638,53.1056287
2020-09-13,128.4918091,48.6720448
2020-09-14,128.0957379,46.9471349
2020-09-15,126.6599819,42.597864
2020-09-16,122.7427403,47.64094
2020-09-17,125.10073,55.5210555
2020-09-18,130.3891335,60.061412
2020-09-19,132.6912855,62.1589326
2020-09-20,129.3897746,61.7852429
2020-09-21,130.4821828,67.7415207
2020-09-22,130.1206836,63.0069423
2020-09-23,129.8836623,69.2785474
2020-09-24,131.1752973,64.4034063
2020-09-25,131.944553,69.0659247
2020-09-26,150.177864,67.8519521
2020-09-27,146.6736323,71.3456601
2020-09-28,148.3301746,65.1379499
2020-09-29,150.3332138,61.0841616
2020-09-30,150.9830786,62.1699336
2020-10-01,150.1559335,57.0635527
2020-10-02,150.5720721,61.9610899
2020-10-03,150.2369735,70.7268171
2020-10-04,147.044144,71.0558644
2020-10-05,131.3403332,63.5749453
2020-10-06,128.838577,56.3547274
2020-10-07,128.7019385,57.8200225
2020-10-08,129.6919325,62.7083504
2020-10-09,129.749321,64.773854
2020-10-10,129.8911803,68.9854533
2020-10-11,129.036222,57.1930945
2020-10-12,128.2081605,61.9238882
2020-10-13,131.1101346,55.6966315
2020-10-14,130.9790199,51.992842
2020-10-15,129.9732596,59.1339623
2020-10-16,133.3910957,62.8311044
2020-10-17,132.1144574,66.6189423
2020-10-18,132.3412849,57.352059
2020-10-19,131.0327982,60.4795289
2020-10-20,133.1269695,63.402091
2020-10-21,134.8154643,55.019456
2020-10-22,132.5965493,61.8572973
2020-10-23,134.7995589,59.3902807
2020-10-24,133.4219349,64.9621614
2020-10-25,150.4000121,58.1720661
2020-10-26,132.5202489,51.2463086
2020-10-27,131.5231238,58.2390591
2020-10-28,131.4704046,57.0877276
2020-10-29,132.186239,60.7876694
2020-10-30,133.9817499,56.4396788
2020-10-31,133.8005587,59.9771817
2020-11-01,130.682295,48.6313544
2020-11-02,131.0555378,55.2004535
2020-11-03,129.4349035,48.6319455
2020-11-04,129.5853427,57.6370188
2020-11-05,130.6166766,51.2873231
2020-11-06,132.1481587,63.9652187
2020-11-07,132.3994364,57.5241936
2020-11-08,131.4751021,58.123382
2020-11-09,132.270849,54.9727424
2020-11-10,134.7030829,47.407554
2020-11-11,132.2087624,54.2521101
2020-11-12,135.7433744,50.2425504
2020-11-13,133.9826094,56.8737223
2020-11-14,140.1805555,58.9005876
2020-11-15,138.9475753,62.5008586
2020-11-16,144.357316,59.0160571
2020-11-17,143.8443501,50.9332008
2020-11-18,144.4923097,59.8422575
2020-11-19,147.2647852,47.1783147
2020-11-20,145.6118615,55.6479523
2020-11-21,144.559929,57.238854
2020-11-22,144.5706321,55.998529
